eid,comment_star,comment,入门,高端,性价比,暴力,进攻,杀球,控制,头重,连贯,速度,中杆硬,中杆软,糖水,颜值,拉吊
21627,5,"中杆硬度适中，弹性好，整体重量轻一点
 拍头不重，连贯迅速，杀球的时候连续杀了几拍都能很好的连贯上，举拍的时候没有拍头沉重感
  低手位抽球，很快，拍子出球反馈特别好，基本上发力即可把球抽出去
...",0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
21627,5,首先拿到新款球拍，第一感觉还是经典的波力乌缺工艺，漆水做的很细致，亚光漆显得非常上档次，水贴设计元素内容非常丰富，这款主打的是环保主题。这次跟店家选的是W520，四轴中管的设计，因为W521硼纤维的还...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21627,5,打干脆弹，怎么说呢～类似于YY的疾光700Pro，轻快声音挺爆炸的，可以说是糖水速度进攻，拍框很大，容错率高。还有就是颜值很高。...,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
21627,5,第二支波力1982系列了，是我喜欢的手感和颜值，价格比三大厂香多了。...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21627,5,中杆的回弹非常的迅速 处理反手被动的时候也是非常好借力的，球拍整体稳定性比较好的，手感也比较扎实...,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21627,5,买的G521，打感很不错，就是高估了自己的水平，线的磅数拉高了，拍子很不错的糖水拍，价格摆这里，集合了波力的各种科技，很值得入手的一款拍子...,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21627,5,就想着买一个性价比高的拍子，看评价不错就入手了g521，买回来一上手非常舒服，高远不费力，挥速很快，扣杀这软中杆，能打出形变，杀球给力，相比我的900日好驱动不少。中杆加硼硬中带软，弹性很好。颜值好看...,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0
21627,5,本人业余3+级别。G520，4U5。谈谈感受说到哪是哪哈。球拍杆写的软，实际打感并不硬，属于适中偏软。我把底部配重片去了，三层缓震膜。拉的李宁N68，27-29，平衡点来到了307附近。杀球球速快，但...,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0
21627,5,老板推荐的球拍和线收到货打了几天，整体打感非常扎实，控球性能非常出色，中杆弹性十足，贴纸摸起来有立体感，球拍打起来非常顺手，球搭子用了也很喜欢准备入手一个，老板线拉的太棒了，不愧是专业拉线师，靠谱值得...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21627,5,球拍漆水做工非常好，金色金光闪闪，打感控制很好，中杆Q弹，回馈直接指向性强...,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21627,5,好用好上手中杆特别弹控球稳定值得推荐...,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21627,5,打了两天了感觉不错。控制性比较好打落点比较准，进攻也不差。...,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21627,5,挥速快 控球和平抽感觉拉满...,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21627,5,兄弟们冲，两支一次性搞定，W520中杆略硬，进攻性更好。G521硼纤维中杆，略细，韧性更好，控球非常舒服，两支的指向性都非常好，适合拉吊突击，控制型打法，挥速很快，单双皆宜，跟雷霆80打起来差不多，拍...,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
21627,5,非常好用，值得拥有，为Bonny点赞👍🏻👍🏻👍🏻...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12468,5,拍面较大记得加磅尤其是甜区哪几条竖线，否则容易走线，颜值真心到位，性能上防到位杀给力，不可多得的颜值与性能并存的好怕子...,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
12468,5,"波力里面少有的漆水颜值都不错的拍子，贴纸比较容易掉
28榜，去底，现在二线马上断了
整体打感偏糖水，有一点头重感，中杆反馈很直接，但是还是祖传振手
平衡点适中偏高，中前场杀球够用，后场就比较吃力...",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
12468,4,"这把很香，前阵子断了把双刃7后，满世界找备用拍，前前后后打了不少拍子。
波力我是从2013l入坑的，好打但是难打。
后来打过波力的1982–143，9900二代，白斩鬼，公主二代，都不舒服。
这...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12468,4,4ug5（波力的g5巨细，注意），去底胶，vbs63，27/28磅。远看颜值高，近看漆水还是有一点瑕疵。中杆属于适中偏软（比亮剑12L明显软），头偏重，虽然是破风框型，但挥速比不上亮剑12L（正常）。...,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
12468,5,接触这个系列的时候还是小青出来的时候，当时第一支小青很好打后面一个球友看上了小青就给他玩了，后面又买了一只但是打感真心没前面那只好玩了后面直接当二手拍出掉了，这次白蛇来了毫不犹豫第一批次搞两支，唯一有...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12468,5,好看，好上手，好性价比的波力中端速度进攻拍...,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
12468,5,杀球太爽了，漆水有点像紫金大姐夫，但我觉得白蛇颜值更胜一筹，300平衡点，杀球很爽，中杆偏硬韧性好，发力传导稳定！暂无缺点。...,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
12468,4,XP白蛇这个蛇皮纹戳中我XP了，颜值很不错，但是亚光白漆泛黄容易脏。手感也就一般般吧，二手拍子也可能是卖家掉磅严重，刚到手还不是很适应。中杆弹性一般，有点震手，反馈一般，木木讷讷的，体轻头重，大差不差...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12468,4,"拍子不错，颜值高的同时兼顾性能，破风框，挥速快。
拍框同时又有一定硬度，下压有头重的感觉，但不多。
是一把攻防兼备的球拍，唯一美中不足是店家打的线要求28磅，感觉只有26磅左右，甜区的竖线掉磅严重...",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
12468,5,上手有点小难度，挥速比较快，拍框比较硬，漆水很好，杀球有力落点精确，性价比高...,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0
12468,5,以价格和打感来说这个价很舒服，球拍甜区特别大。...,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12468,4,嗯，挺好，不多评价，速度拍厚框...,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12468,3,使用状态 305mm 平衡点，有一定的头重感。拍框偏硬，中杆硬度适中弹性还不错。稍微有一点震手。没打中甜区的话手感有点怪异。...,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12468,4,破风框挥速快，中杆适中硬一点点，网前还可以，后场重杀需要一定的发力，但是还是可以杀得比较重，打的很舒服，在状态不好的时候可以选择拿来单打，双打也适合，个人有点不习惯，对我来说挥速太快了...,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
12468,1,又木又震，纯看颜值和不错的评价买的。不过我觉得震木，一起打的帅哥也这么觉得。拍个锤照片...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20319,5,"感谢中羽！！！
配置参数：
4U，平衡点：302mm，
球线采用L67，27磅，手胶采用K-30

省流评价：
1.只有提速和快速攻防，才能发挥出砺剑真正的性能；
2.日常若使用盒式拍，...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20319,5,"尔要试试吾亮剑是否锋利？
​吾砺箭也未尝不利！
​曾经嫉妒使我质壁分离
​如今欧皇竟然是我自己
    外观很漂亮，哑光色磨砂漆水，显得很高级，图案很细腻。...",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20319,5,打了有半个月了，单打打过，混双打过，男双打过，使用下来的感受，单混过程中，控球还是蛮舒服，指向性很好，对于高远球和杀球，很好借力，特别抽球的时候，力道用上了，那是嘎嘎的脆呀！声音都悦耳。反手主动，被动...,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
20319,5,打感硬朗干脆，有一定头重挥重的单双兼顾速度型进攻拍，硼纤维的加入确实使得中杆非常硬弹，力量传导很顺畅，而且聚力爆发感做的非常不错，有一定使用门槛的，对使用者的技术力量都有一定的要求...,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
20319,5,"漆水一般，头重感明显，出乎意料的好打，个人认为比斩鬼3要好打。
同时买了战戟8k，同样不去底上手胶的情况下砺箭握把粗细更适合我，平衡点也更舒服，第一场实战发挥更好。后续将战8去底后再实战感受对比一下...",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20319,5,手感真的蛮不错的，速度有，进攻也有，平衡点高，打了一晚上有点小累。藏青色也很好看的。这个拍子点杀那一拍真舒服，重杀嘛，就看技术和力量了，头重感强，中杆偏硬了点。比前面用过的乌缺亮剑进攻要好些。...,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0
20319,5,速度进攻，连贯突击，有的放矢，一发入魂...,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
20319,5,拍头一拿到手就很有重量，拿上场，后场进攻很犀利，整支拍子进攻方向很明显，感觉可以平替 88dp，这支拍子适合双打，单打太废体能和手上力气了，比较满意的一支破风进攻拍！...,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
20319,4,"真香啊，现在身体好一点不打承影了用这把拍简直嘎嘎乱杀，去底胶后搞平衡点杀球猛，防守比002好多了
打了几周后感觉控球差点意思，穿的65线28磅，对劈吊滑板这种落点要求比较高的球效果不太好。不过一拍定...",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
20319,5,还是全破风拍框，速度没的说。305±0的平衡点，加强了进攻，硼纤维中杆硬度提升了点，单打和混双中，控球和重杀表现很好。正反手推，抽接力明显，高平衡点，防守有丢丢吃力。男双中，中前场表现中上，中后场表现...,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
20319,5,"去底 线BG-65 28磅，波力的g5手柄确实比别家的细点，感觉介于g5和g6之间的程度我觉得刚刚好。
感受：
确实是一把性价比非常高的球拍，头重感很明显一上手满满的进攻欲望，但是在控制方面一样很...",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
20319,5,"从样拍试打到改进，8个月左右了！305±0平衡点，g5手柄，菱形全破风拍框速度型进攻拍。硼纤维6.5mm细中杆，涂装颜值顶尖。老头审美不行，还得重新设计。你看去年开始波力这这颜值不就来了，哈哈。
...",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
20319,5,"总体来说，头重感有。杀球 突击非常猛，整体挥速尚可，防守 被动也不错整体给我的感觉像90km居然。 杀球更通透。
漆水还是不错的，紫电青霜 非常喜欢。...",0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
20319,5,"305mm平衡点的纯破风框
破风感非常明显
中杆弹性体验很好...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20319,5,"挥动的时候有变重的感觉，感觉有科技，身边朋友拿上都得问一句4u还是3u,对比其他速度拍，轻杀的加持还是很大的...",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17114,5,拉线师傅说拉起来很好，我懂个屁啊我又不懂...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17114,5,"许多年前，当我还是初中生的时候，属于自己的第一支球拍就是波力的，如果没记错，似乎是黑曼巴（名字很炫酷）。价格便宜，一直在做我这个阶层打得起的球拍，这就是我偏爱波力的原因。
迄今为止（不包括这把斩鬼刀...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17114,4,"先介绍下本人水平：十年球龄，市英东杯高中组男单冠军
这支8888ax三代，中杆硬弹，拍框硬度高，抗扭一流，流体盒式框挥速还行，出球稳定。拍头不算重，只能说略微有点头重感，我是去底裸木柄+毛巾胶，平衡...",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17114,3,脆弹打感不输3大厂，但可能是不习惯细手柄，感觉不够扎实稳定，杀球失误有点多，下压信心不足。再打打看...,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
17114,4,"好东西，三大以外只认波力，波力做平衡拍的水准在胜利之上
中杆调教的很有意思，还有顺便说一句话火之呼吸，什么垃圾，根本和紫炎的调教就是云泥之别...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17114,5,系列最犀利的打感，这是非常值得拥有的斩鬼刀...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17114,5,这是让我非常惊艳的一支球拍，之前的主力拍是YY天斧77P，从心里都是拒绝二三线小品牌的，还是觉得大厂的品控，技术含量，用材用料，中杆调教更胜一筹，偶然在中羽上看到有不少人说紫炎3非常优秀，就抱着怀疑的...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17114,2,说实话，这是我打过国产拍里面打感最奇怪的拍子，不能说好不好打了，只能说非常奇怪，中杆硬弹，拍框软轻，很黏球，头轻脚重感明显，力量传导不顺畅，从手柄到中杆t头，好像力量传导就结束了，我自己重炮手，杀球无...,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17114,5,490-15=475，带线475全新。别看我等级低，我好歹是个装备党，对球拍的玩弄还是有心得的。波力1982flagship是我人生中第一把意义上的高端拍，很糖很好打，t头处重，但是很好借力，也让我有...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17114,5,"1.蓝色骚气 漆水无敌 贴纸拉风 甚得朕心 就是帅气！
2.4u 有底 ,66n 25磅 ，中杆脆弹！好上手！控球舒服 高远轻轻松松送到底线 而且平抽挡一点都不拉胯 个人感觉没有一击重杀的威胁性但是...",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
17114,4,"我也是信了网友的邪，买了这支拍。
有人可能懒得看太多字，我就总结一下，这拍属于防守反击类型的拍，不属于暴力进攻型，连平衡拍都不算，也不是速度拍，大拍框没啥挥速加成。
柄长20.8，杆长21.2，弓...",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
17114,5,"空拍平衡点295，空拍重81
上线（66u/27b)上减震膜（3圈）上手胶后
平衡点285，拍重92
大拍框，中杆偏硬，感觉是脆弹，同时买了三把来比较三选一
9001老色
9001新色
鬼...",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17114,5,我愿称之为今年波力最强，紫色系的盛宴，蓝魔和紫电双色。平衡点一直是波力控制的最好的地方，蓝魔对称美，紫电顺时针喷涂。对标战戟8000？雷霆70？...,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17114,3,仅代表个人观点，打了两个月，也许算打透了这个拍子，我不太认可一些对这个拍子过高的吹嘘评价，对我个人而言这个拍子的中杆硬度也许没有很高，但是发木，而且满配后平衡点不高，下压球压不住，宣传的也是进攻拍，我...,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17114,4,入手之后没有评分那么夸张，本身是期待用比较低的价格买一只战戟8000的平替，但就球拍本身性能而言，还是赶不上战戟8000的。可以评价为这个价位中的佼佼者，但没有达到以下克上的水准，离大厂的旗舰次旗舰的...,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8979,5,"作为一个快弹性的头重拍与其说手感类似tkF不如说手感更加类似90K
波力的球拍无论从手感，还是弹性包括下压弯曲折点确实都做的非常出色...",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8979,5,"空拍去膜82.5克
平衡302
中杆6.5，终于波力做了g5手柄...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8979,5,破风框，挥速快，后场重杀挺给力的，网前也快。用着顺手，打了一个多月成主力拍了，88dp都卖了。前段时间都是用这把拍摸鱼，打的拉吊，没感觉到这拍的长处。最近转变打法，起高就杀，后场高球则跳杀，对面都说重...,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
8979,5,"就是波力j20-006和007的同款又名恶魔之锤
这外观做的朴实无华大气
中杆细，但是中杆的wowen看粗细度是1.5k wowen丝，看上去比富力特的高端拍有进步，在我印象中富力特已经基本没在更...",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8979,5,"这拍子虽然是叫F35，其实是J20的新配色而已。
加糖版低配版风刃900，同价位无敌...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8979,5,"不得不感叹——现在是速度连贯进攻拍的天下！
拉线26磅VBS66n，参数4UG5，不去底上平面手胶平衡点 295mm。
以下评论和和小鬼斩（26磅GT69，平衡点 305mm）比较：
1、使用负...",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
8979,5,用老色鬼和球友交换的。我嫌老色鬼杀球不够快，手柄有点粗。他嫌恶鬼之锤太轻，手柄太细。都是刚入手的新拍，用着彼此的都和手就换了。两只拍我觉得我用起来两种性格，老色鬼，用它我老喜欢网前做小动作，杀球也很棒...,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
8979,5,相比于其他人说的扣杀，我更喜欢的是这只拍的拉吊和前场小球。不知道为什么，可能之前打的牌子要么挥重特别大，要么特别轻注重连贯。在用这只拍的时候我明显感觉实在是特别适合我，小球的手感特别舒服，拉吊更是顺畅...,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
8979,5,"好拍，杀球给力，高远一般，吊球出奇的好。小球也不错。
超值，性价比高。
空挥有点震，但打到球就不会了。不是很懂什么原理，...",0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
8979,5,g5太细了，下次多缠一下缓震膜，4u，虽说波力的二姐夫，但中杆比二姐夫软，挥重适中，杀球比900b这种平衡拍快，拿来打双打后场...,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
8979,5,"早期不玩波力，玩击破，自从入了一把斩鬼刀，体验过它那重杀，跳杀时，中杆带来的惊艳鞭打感后，立马爱上波力~（斩鬼刀不多说，在我心中已然封神！）于是再次入手2把恶鬼之锤，黑白各一把
说说上手感受：先说白...",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8979,1,F35和波力J20-006本质上是一个拍子，据说是代理商专门定制。打感还可以，最初感觉有点震手。属性在坐标轴右上方，属于硬弹速度型进攻拍。波力球拍上限低，要用3U，4U属性会弱很多，更接近3U的英菲尼...,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8979,5,原先用的亮剑12，这把拍子挥速，弹性能都差不多，后场扣杀明显比12强，对的起价钱...,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8979,5,这个拍子火是有原因的，的确好打。破风框，比亮剑12进攻要好。控球，防守稳稳的，网前封，放都很好。出球很脆，不黏球。估计跟中杆回弹速度快有关。这个价格，性价比贼高！非常喜欢...,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8979,5,F35虽然是4u，头微重，需要一点发力基础，不过出球真的爽脆，整体击球效果和手感反馈都在中等以上，个人感觉有点像JS12F。...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12625,3,一开始挺硬的，后面就打软了木木的，3u重量还行，一开始用这个拍巨容易打框不太好用，手柄太短了，打久了习惯了就好些了，现在用感觉挺顺手 因为重量杀球挺顺手的...,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
12625,4,波力的真的有些重3u，建议4u，挺好打的杀球反手等等，而且波力的拍质量杠杠的，撞别人拍就掉一点漆别人掉一大块，3u要有点实力才能打，中杆说是适中，刚上手有点硬，后面就正常了，单打适合，双打算了，三百多...,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
12625,3,好看，备用拍借人...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12625,4,刚入手觉得漆水不错，打了之后感觉杀球还可以，感觉上手难度应该是不高的，可以试试...,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
11119,5,"这是之前同学送我的生日礼物，买回来拉了80线，白色29磅。
一开始他给我的感觉是会拍比较重，因为之前我用的牌都是平衡点295的。不过后来用了100zz之后就觉得这个拍和5U的一样。但是这不影响他是一...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11119,5,在入门拍各大厂家大家中身材较为魁梧的一名打手...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11119,4,很不错一拍子，算是新手拍吧，各方面都不错，有点震手，比较轻，但是杀球也挺顺手，性价比很高，也能拉高磅，个人感觉打感不错。...,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
11119,3,作为我入坑羽毛球的第一把新手拍，使用将近一年，我有很多感触。首先说外观，的确我当时作为新手，大概率是也只能是被外观吸引，压根不懂其他参数。然而，漆水不行，没有发生碰撞的地方例如拍面顶部或者底部两旁，以...,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11119,5,杀球爽得一批，要是打防守的话不建议这个拍，不是特别灵活，算是暴力版铁锤吧，拍头比他重，要是你是想买两百多的杀球拍，这个真的不错，但要有点驾驭能力两百块真的超值...,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11119,5,。。。。。...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11119,4,头重感超级强，新手不要买，小拍框，不过杀球进攻好用...,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
11119,4,本人第一把入门拍，当时啥也不懂，买她始于颜值。小拍框，整体偏重，有一定的头重感，中杆软弹，很容易打出形变，挥速还可以，进攻挺猛的，特别是去底后。建议有一定基础的可以试试，好看好玩...,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11119,5,买的第一把球拍，从此走上不归路...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11119,2,一般情况吧，挥速确实快，但是漆水真的一般，这就是他这个孔洞交错设计是真的垃圾，穿线怎么穿都穿不进去，颜值还行吧，总体来说的话，当个新手拍用还是可以的，还是很好驱动的，拍框是很厚的...,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11119,3,接杀不大行，中杆木，中前场连续平抽中杆恢复慢跟不上节奏，拍框小，新手不友好，26磅66线后场有点不够用。 拍子轻喜欢打反手会觉得很舒服， 这个价位来说中规中矩吧。也有可能线用的不对应该拉80线可能会更...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11119,4,好上手，挥速块，挥重轻，颜值高...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11119,5,漆水不错，性价比很高。打感不错很像同学的小隼，头重杀球很猛...,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0
11119,3,速度拍，但是有点木...,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11119,5,入门挺好的...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12256,5,"我自己有ax99tour，ax99pro，arc11pro，雷霆50，也打过球友的ax77，ax100zz，雷霆80。
在入手151之前，我最常打的单打拍是99pro，双打拍是雷霆50。99tour...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12256,5,"上线A27磅80+B李宁5号紫色29，1982-151珍珠白配色，整体上远看很素，细看鎏金点缀，翠绿纹路，低调而奢雅，大拍框，整体容错率比较高，长中杆，中杆比较弹，高远轻松，出球还是比较快,依靠305...",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
12256,5,非常不错的进攻拍波力1982B151平衡点305去底3U平衡点315，中杆回弹很舒服，中杆适中便硬，需要有一定基础的球友。...,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12256,5,菜鸟一只 打过的拍子不多 只感觉很清脆 干净利落 第一支是G5的太细了 相当于yy的G6 后面因为意外断了 还手贱把线给剪了 但还好质保成功了 不得不说波力质保是真的给力 来回走顺丰只花了5天 质保换...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12256,5,颜值和威力达到新高度的1982...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12256,5,首线VBS 66N 25磅，由于本人目前使用YY的88D+李宁风动9000，初次上手打感，首先1982的甜区很大，对于入门的新手很友好，拉高远球整体十分轻松，只要动作到位出球的质量很高，手感扎实，落点...,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12256,5,305平衡点穿线后拿在手上拍头重的很明显，这把拍子单打后场高远还是杀球都很好接力，特别是我这种小菜鸡，感觉下压感很明显，杀球击中甜区后出球有力，但是双打中场对抽有时候感觉起拍会慢，可能是我菜吧！总体来...,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
12256,5,中杆偏硬，但出球速度很快，杀球比较猛，感觉比我的双刃10杀球猛，漆水是真硬，打这么久了都还没掉过漆...,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
